subject,subject_sub,bedrooms,size,year_build,comp_fmls,comp_address,comp_B,comp_size,comp_year,market_value,psf,size_diff,comp_DOM
6115466,"Diamond Ridge",4,2168,2014,5988732,"704 Capri Ridge",4,2053,2006,225000,109.60,-115,3
6115466,"Diamond Ridge",4,2168,2014,6032649,"402 Cobalt Valley Lane",4,2054,2002,215000,104.67,-114,25
6115466,"Diamond Ridge",4,2168,2014,6046255,"179 Diamond Ridge Avenue",4,2126,2015,233000,109.60,-42,51
6115466,"Diamond Ridge",4,2168,2014,6076976,"119 Diamond Ridge Avenue",3,2140,2002,225000,105.14,-28,8
6115466,"Diamond Ridge",4,2168,2014,6080251,"159 Diamond Ridge Avenue",4,2168,2014,239000,110.24,0,3
6115466,"Diamond Ridge",4,2168,2014,6116304,"158 Diamond Ridge Avenue",4,2266,2005,250000,110.33,98,12
6115466,"Diamond Ridge",4,2168,2014,6020132,"807 Topaz Valley",4,2298,2007,225000,97.91,130,15
6115466,"Diamond Ridge",4,2168,2014,6041211,"836 Topaz Valley",4,2336,2006,213500,91.40,168,72
6115466,"Diamond Ridge",4,2168,2014,6003645,"237 Diamond Valley Pass",4,2354,2005,234000,99.41,186,13
6115466,"Diamond Ridge",4,2168,2014,6047628,"820 Topaz Valley",4,2472,2007,247000,99.92,304,52
6115466,"Diamond Ridge",4,2168,2014,6014575,"151 Diamond Ridge Avenue",4,2505,2006,235500,94.01,337,8
6117187,"Mountain View",3,1478,2007,6107413,"210 Forest Trace",3,1353,2001,220000,162.60,-125,34
6117187,"Mountain View",3,1478,2007,6097978,"402 Hidden Hills Court",3,1543,2003,215000,139.34,65,85
6117187,"Mountain View",3,1478,2007,6126571,"370 Spring Hill Drive",3,1573,2007,239900,152.51,95,13
6117187,"Mountain View",3,1478,2007,6007438,"159 Mountain Vista Boulevard",3,1635,2003,240000,146.79,157,2
6117187,"Mountain View",3,1478,2007,6112981,"355 Spring Hill Drive",3,1722,2004,237000,137.63,244,34
6117187,"Mountain View",3,1478,2007,6117951,"216 Mountain Vista Boulevard",4,1834,2005,289000,157.58,356,4
6117187,"Mountain View",3,1478,2007,6045233,"194 Mountain Vista Boulevard",5,1873,2005,289900,154.78,395,1
6117187,"Mountain View",3,1478,2007,5940150,"158 Mountain Vista Boulevard",3,1883,2003,239000,126.93,405,65
6117187,"Mountain View",3,1478,2007,6043602,"207 MOUNTAIN VISTA Boulevard",3,1905,2005,225000,118.11,427,17
6117187,"Mountain View",3,1478,2007,6005975,"309 Spring Hill Drive",4,2003,2003,240000,119.82,525,210
6117187,"Mountain View",3,1478,2007,5975002,"203 Mountain Vista Boulevard",4,2046,2007,260000,127.08,568,4
6117187,"Mountain View",3,1478,2007,6116726,"256 Mountain Vista Boulevard",4,2079,2005,259900,125.01,601,4
6117187,"Mountain View",3,1478,2007,6024829,"181 Mountain Vista Boulevard",4,2088,2004,252173,120.77,610,46
6117187,"Mountain View",3,1478,2007,6123539,"315 Cabinwood Trail",4,2089,2004,284900,136.38,611,6
6117187,"Mountain View",3,1478,2007,6101795,"177 Mountain Vista Boulevard",4,2111,2004,275000,130.27,633,9
6117187,"Mountain View",3,1478,2007,6009564,"168 Mountain Vista Boulevard",4,2368,2004,261000,110.22,890,16
6117187,"Mountain View",3,1478,2007,5985913,"217 Forest Trace",4,2450,2002,205000,83.67,972,6
6117187,"Mountain View",3,1478,2007,6086037,"363 Spring Hill Drive",6,2918,2003,280000,95.96,1440,82
6117187,"Mountain View",3,1478,2007,5964630,"300 Cabinwood Trail",4,2973,2003,268000,90.14,1495,4
6117187,"Mountain View",3,1478,2007,6038079,"164 Mountain Vista Boulevard",4,2974,2003,269900,90.75,1496,33
6117187,"Mountain View",3,1478,2007,5973574,"539 Autumn Ridge Drive",4,3000,2002,276000,92.00,1522,53
6117187,"Mountain View",3,1478,2007,6037711,"215 Forest Trace",4,3130,2001,230500,73.64,1652,55
6117187,"Mountain View",3,1478,2007,6077761,"143 Mountain Vista Boulevard",5,3144,2002,220000,69.97,1666,76
6117187,"Mountain View",3,1478,2007,6072864,"362 Spring Hill Drive  Drive",4,3264,2003,285000,87.32,1786,94
6117187,"Mountain View",3,1478,2007,6075225,"505 Autumn Ridge Drive",4,3436,2004,280200,81.55,1958,5
6117187,"Mountain View",3,1478,2007,6005353,"303 Cabinwood Trail",4,3550,2004,272100,76.65,2072,4
6117187,"Mountain View",3,1478,2007,6053360,"320 Cabinwood Trail",5,3735,2004,289900,77.62,2257,70
6117527,"Pembrooke Park",5,2621,2007,6048244,"1335 Worcester Trail",4,2406,2016,210000,87.28,-215,2
6117527,"Pembrooke Park",5,2621,2007,6088728,"1521 Culpepper Lane",4,2737,2008,209000,76.36,116,91
6117527,"Pembrooke Park",5,2621,2007,6056458,"1200 Ithaca Drive",5,2922,2014,233500,79.91,301,15
6117527,"Pembrooke Park",5,2621,2007,6506607,"2133 Dartmouth Court",6,3786,2007,186000,49.13,1165,5
6117600,"Ivey Springs",4,2570,2007,5931902,"2635 Ivey Lace Court",4,2372,2005,234900,99.03,-198,109
6117600,"Ivey Springs",4,2570,2007,6006965,"3677 Vine Springs Trace",4,2420,2007,250000,103.31,-150,17
6117600,"Ivey Springs",4,2570,2007,6077816,"2776 Jubilee Terrace",4,2537,2007,257500,101.50,-33,21
6119043,"Oakleaf Manor",3,1522,2017,5979475,"7515 Volion Parkway Unit#76",4,1724,2007,145900,84.63,202,7
6119043,"Oakleaf Manor",3,1522,2017,5999682,"3454 Oakleaf Pass",4,1724,2007,155000,89.91,202,7
6119214,"Heritage Park of East Point",3,1846,2005,6117302,"4545 Parkway Circle",3,1720,2004,155000,90.12,-126,14
6119214,"Heritage Park of East Point",3,1846,2005,5936613,"360 ESPANA Street",4,1735,2005,158500,91.35,-111,76
6119214,"Heritage Park of East Point",3,1846,2005,6045184,"4583 Parkway Circle",3,1768,2003,160000,90.50,-78,27
6119214,"Heritage Park of East Point",3,1846,2005,6014431,"4576 Parkway Circle",3,1788,2003,157900,88.31,-58,4
6119214,"Heritage Park of East Point",3,1846,2005,6062287,"4697 Highpoint Lane",3,1821,2006,160000,87.86,-25,4
6119214,"Heritage Park of East Point",3,1846,2005,6083546,"4691 Highpoint Lane Unit#111",3,1821,2006,163000,89.51,-25,71
6119214,"Heritage Park of East Point",3,1846,2005,6040593,"4666 Parkway Circle",3,1927,2003,154000,79.92,81,5
6119214,"Heritage Park of East Point",3,1846,2005,6000051,"4337 Ben Hill Road",3,1984,2003,160000,80.65,138,11
6119214,"Heritage Park of East Point",3,1846,2005,5943073,"4578 Parkway Circle",3,2076,2003,157900,76.06,230,56
6119214,"Heritage Park of East Point",3,1846,2005,6005704,"4313 Ben Hill Road",3,2076,2005,150000,72.25,230,1
6119214,"Heritage Park of East Point",3,1846,2005,6093385,"2269 Creel Road",4,2174,2005,154200,70.93,328,2
6119214,"Heritage Park of East Point",3,1846,2005,5959962,"4567 Parkway Circle",3,2208,2004,155000,70.20,362,4
6119214,"Heritage Park of East Point",3,1846,2005,6123988,"210 Armas Place",4,3258,2005,193000,59.24,1412,11
6119214,"Heritage Park of East Point",3,1846,2005,6009057,"2114 Benidorm Court",5,3893,2008,190000,48.81,2047,26
6119738,"Mundy Mill",3,1577,2013,5965199,"4723 Sweetwater Drive",3,1562,2011,185000,118.44,-15,16
6119738,"Mundy Mill",3,1577,2013,6088854,"4631 Summer View Drive",3,1568,2015,218900,139.60,-9,28
6119738,"Mundy Mill",3,1577,2013,5970182,"4548 Sweetwater Drive",3,1568,2016,225000,143.49,-9,61
6119738,"Mundy Mill",3,1577,2013,6017124,"4751 Sweetwater Drive",3,1577,2012,226000,143.31,0,45
6119738,"Mundy Mill",3,1577,2013,5977833,"4823 Coopers Creek Lane",3,1581,2013,212000,134.09,4,27
6119738,"Mundy Mill",3,1577,2013,6078736,"4836 Coopers Creek Lane",3,1585,2013,225000,141.96,8,53
6119738,"Mundy Mill",3,1577,2013,5953144,"4743 SWEETWATER Drive",3,1600,2013,193000,120.63,23,46
6119738,"Mundy Mill",3,1577,2013,6070686,"4232 Weeping Willow",3,1604,2015,196000,122.19,27,128
6119738,"Mundy Mill",3,1577,2013,6036549,"4227 Box Elder Path",3,1604,2015,185000,115.34,27,1
6119738,"Mundy Mill",3,1577,2013,5948162,"4632 SWEETWATER Drive",3,1606,2013,216000,134.50,29,8
6119738,"Mundy Mill",3,1577,2013,6045850,"4154 Box Elder Path",3,1606,2015,195000,121.42,29,14
6119738,"Mundy Mill",3,1577,2013,6049549,"4314 Box Elder Path",3,1606,2015,185000,115.19,29,15
6119738,"Mundy Mill",3,1577,2013,5979234,"4207 Swamp Cypress Trail",3,1656,2014,197500,119.26,79,27
6119738,"Mundy Mill",3,1577,2013,5894747,"4628 Summer View Drive",3,1681,2016,220000,130.87,104,204
6119738,"Mundy Mill",3,1577,2013,5999910,"4603 SummerView Drive",3,1700,2015,222900,131.12,123,16
6119738,"Mundy Mill",3,1577,2013,6023615,"4827 Coopers Creek Lane",4,1782,2013,232000,130.19,205,9
6119738,"Mundy Mill",3,1577,2013,6054338,"4568 Sweetwater Drive",3,1807,2016,222000,122.86,230,34
6119738,"Mundy Mill",3,1577,2013,6023088,"4582 HIDDEN CREEK Drive",4,1853,2016,210000,113.33,276,1
