FMLS,Address,City,County,Zip,Sub,Y,B,B_F,B_H,SQFT,Price,Hoa,F,DOM,Taxes,est_rent,comp_rental,est_sale,comp_sale,id,createdAt,updatedAt
6509823,"61 Knolls Ridge",Hampton,Henry,30228,Bridgeport,2006,3,2,0,2104,219900,530,Annually,3,0,1430.72,1775,205581.84,204999,1,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6503328,"6780 Mahonia Place",Lithonia,Dekalb,30038,"Chestnut Lake Preserve",2005,4,3,0,1812,150000,400,Annually,18,0,942.24,1150,134867.16,149900,2,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6509817,"604 Cobblestone Circle",Canton,Cherokee,30114,"Station at Prominence",2006,3,2,0,2102,243000,225,Annually,0,366,1429.36,1690,233090.78,225000,3,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6507632,"406 Gun Range Road",Dallas,Paulding,30132,"Holly Trail",2006,3,2,0,1208,150000,0,,7,1511,1159.68,1150,151000.00,145000,4,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6120397,"147 Mount Moriah Road","Ball Ground",Cherokee,30107,"Lantern Walk",2007,3,2,0,1390,199900,80,Monthly,42,1778,1223.20,1565,193835.50,213075,5,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6503274,"341 Cedar Bay Circle",Dallas,Paulding,30157,"Autumn Creek III",2005,3,2,1,2300,210000,225,Annually,15,2073,1288.00,1500,206862.00,195000,6,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6504944,"6763 Grand Hickory Drive",Braselton,Barrow,30517,"Mulberry Park",2006,3,2,1,1591,220000,565,Annually,13,2093,1431.90,1400,193545.15,189900,7,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6127677,"102 Plumeria Street",Canton,Cherokee,30114,"Prominence Point",2005,4,2,1,2040,217900,58,Monthly,25,2153,1632.00,1500,217892.40,217900,8,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6115466,"166 Diamond Ridge Avenue",Canton,Cherokee,30114,"Diamond Ridge",2014,4,2,1,2168,242000,475,Annually,53,2201,1626.00,1615,239000.32,239000,9,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6127315,"4207 Arnolds Mill Overpass",Douglasville,Douglas,30135,"Chaparral Ridge Anneewakee",2005,4,2,1,2290,198000,425,Annually,20,2222,1351.10,1800,188650.20,188000,10,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6117187,"552 Autumn Ridge Drive",Canton,Cherokee,30115,"Mountain View",2007,3,2,0,1478,239900,445,Annually,48,2242,1256.30,1945,240322.80,220000,11,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6505365,"6643 Silk Tree Pointe",Braselton,Barrow,30517,"Mulberry Park",2005,3,2,1,2041,219000,565,Annually,12,2319,1734.85,1600,226775.51,207000,12,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6119738,"4860 Coopers Creek Lane",Gainesville,Hall,30504,"Mundy Mill",2013,3,2,0,1577,227500,550,Annually,44,2392,1387.76,1700,225999.87,226000,13,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6129233,"56 Haven Crest Court",Dallas,Paulding,30132,"Seven Hills",2005,3,2,1,1644,249900,725,Annually,18,2410,1413.84,1685,273397.20,263750,14,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6503611,"4151 Pearhaven Lane",Gainesville,Hall,30504,"Maple Park at Mundy Mill",2013,5,2,1,2680,241900,500,Annually,16,2480,1822.40,1700,264569.60,247000,15,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6117527,"404 Emporia Loop",Mcdonough,Henry,30253,"Pembrooke Park",2007,5,3,0,2621,207000,0,,48,2660,1834.70,1675,228760.88,210000,16,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6508122,"1850 Brooks Pointe Dr Drive",Lawrenceville,Gwinnett,30045,"Brooks Crossing",2006,4,2,1,2336,225000,500,Annually,11,2734,1635.20,1570,243014.08,235000,17,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6121671,"155 Yorkshire Lane","Villa Rica",Paulding,30180,"The Georgian",2005,4,3,0,2270,233899,867,Annually,40,2765,1747.90,1800,256510.00,239900,18,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6508942,"961 Cruiser Run",Lawrenceville,Gwinnett,30045,"Hunters Ridge",2005,4,2,1,1855,209000,250,Annually,4,2908,1484.00,1495,167710.55,196200,19,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6127425,"1449 Charcoal Ives Road",Lawrenceville,Gwinnett,30045,"The Spring at Rockhouse",2017,4,2,1,1885,235000,0,,26,2933,1583.40,1600,198207.75,236900,20,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6128587,"428 Hardy Water Drive SE",Lawrenceville,Gwinnett,30045,"The Springs At Rockhouse",2016,3,2,1,2018,242000,750,Annually,24,2938,1674.94,1530,235278.62,215000,21,"2019-02-27 23:25:00","2019-02-27 23:25:00"
6117600,"2816 Jubilee Terrace",Bethlehem,Gwinnett,30620,"Ivey Springs",2007,4,3,0,2570,249000,150,Annually,43,2995,1850.40,1835,254507.10,234900,22,"2019-02-27 23:25:00","2019-02-27 23:25:00"
